"TEMPERATURE.1.","TEMPERATURE.2.","TEMPERATURE.3.","TEMPERATURE.4.","TEMPERATURE.5.","TEMPERATURE.6.","TEMPERATURE.7.","TEMPERATURE.8.","TEMPERATURE.9.","TEMPERATURE.10.","TEMPERATURE.11.","TEMPERATURE.12.","TEMPERATURE.13.","TEMPERATURE.14.","TEMPERATURE.15.","TEMPERATURE.16.","TEMPERATURE.17.","TEMPERATURE.18.","TEMPERATURE.19.","TEMPERATURE.20.","TEMPERATURE.21.","TEMPERATURE.22.","TEMPERATURE.23.","TEMPERATURE.24.","TEMPERATURE.25.","TEMPERATURE.26.","TEMPERATURE.27.","TEMPERATURE.28.","TEMPERATURE.29.","TEMPERATURE.30.","TEMPERATURE.31.","TEMPERATURE.32.","TEMPERATURE.33.","TEMPERATURE.34.","TEMPERATURE.35.","TEMPERATURE.36.","TEMPERATURE.37.","TEMPERATURE.38.","TEMPERATURE.39.","TEMPERATURE.40.","TEMPERATURE.41.","TEMPERATURE.42.","TEMPERATURE.43.","TEMPERATURE.44.","TEMPERATURE.45.","TEMPERATURE.46.","TEMPERATURE.47.","TEMPERATURE.48.","TEMPERATURE.49.","TEMPERATURE.50."
"21",4.6092449,4.6098521,4.6070664,4.6054115,4.6043578,4.6037098,4.6032562,4.6029297,4.6026824,4.602483,4.6023106,4.6021579,4.602009,4.6018816,4.6017556,4.6016378,4.6015217,4.6014092,4.6013011,4.6012015,4.6011074,4.6010226,4.6009465,4.6008836,4.6008326,4.6007901,4.6007549,4.6007258,4.6007024,4.600685,4.6006735,4.6006686,4.6006701,4.6006781,4.6006922,4.600712,4.6007365,4.600765,4.6007969,4.6008317,4.6008689,4.6009083,4.6009495,4.6009927,4.601038,4.6010857,4.6011364,4.6011908,4.6012511,4.6013253
"22",4.52021,4.5222511,4.5232319,4.5238736,4.5243453,4.5247144,4.5250144,4.5252652,4.5254788,4.5256637,4.5258256,4.5259688,4.5260965,4.5262111,4.5263146,4.5264085,4.526494,4.5265721,4.5266438,4.5267097,4.5267704,4.5268264,4.5268781,4.526926,4.5269703,4.5270113,4.5270525,4.5270939,4.5271354,4.5271773,4.5272194,4.5272619,4.5273048,4.5273481,4.5273918,4.527436,4.5274808,4.5275262,4.5275723,4.5276191,4.5276666,4.5277151,4.5277645,4.5278149,4.5278666,4.5279197,4.5279745,4.5280315,4.5280919,4.5281601
"23",4.4814254,4.483083,4.4838771,4.4843971,4.4847802,4.4850805,4.4853252,4.4855302,4.4857053,4.4858572,4.4859905,4.4861086,4.4862142,4.4863092,4.4863951,4.4864732,4.4865445,4.4866098,4.4866698,4.4867251,4.4867761,4.4868232,4.4868668,4.4869072,4.4869447,4.4869794,4.4870143,4.4870494,4.4870847,4.4871203,4.4871562,4.4871925,4.4872291,4.4872661,4.4873037,4.4873417,4.4873803,4.4874196,4.4874595,4.4875003,4.4875419,4.4875845,4.4876283,4.4876733,4.4877199,4.4877683,4.4878191,4.487873,4.4879318,4.4880021
"24",4.4356625,4.4370386,4.4376808,4.4380946,4.4383952,4.4386277,4.4388148,4.4389694,4.4390997,4.4392114,4.4393081,4.4393929,4.4394678,4.4395343,4.4395939,4.4396474,4.4396958,4.4397397,4.4397796,4.4398161,4.4398494,4.4398799,4.4399079,4.4399337,4.4399574,4.4399792,4.440001,4.4400228,4.4400445,4.4400663,4.4400882,4.4401102,4.4401323,4.4401546,4.440177,4.4401997,4.4402226,4.4402459,4.4402695,4.4402936,4.4403182,4.4403434,4.4403693,4.4403961,4.440424,4.4404534,4.4404847,4.440519,4.4405587,4.4406127
"25",4.3591421,4.3622868,4.3638362,4.3648617,4.3656232,4.3662246,4.3667186,4.3671353,4.3674939,4.3678071,4.3680839,4.3683309,4.3685531,4.3687542,4.3689371,4.3691044,4.3692579,4.3693992,4.3695296,4.3696503,4.369762,4.3698658,4.3699621,4.3700517,4.370135,4.3702125,4.3702906,4.3703693,4.3704488,4.370529,4.3706101,4.3706921,4.3707751,4.3708592,4.3709445,4.371031,4.371119,4.3712085,4.3712997,4.3713928,4.371488,4.3715856,4.3716858,4.3717892,4.3718961,4.3720073,4.3721239,4.3722476,4.3723821,4.3725388
"26",4.3149343,4.3154938,4.3157187,4.3158499,4.3159366,4.3159971,4.3160405,4.3160721,4.316095,4.3161116,4.3161232,4.3161312,4.3161362,4.3161389,4.3161397,4.3161392,4.3161375,4.316135,4.3161317,4.316128,4.3161239,4.3161194,4.3161148,4.3161101,4.3161054,4.3161006,4.3160956,4.3160901,4.3160844,4.3160784,4.316072,4.3160654,4.3160585,4.3160513,4.3160438,4.3160361,4.316028,4.3160198,4.3160112,4.3160024,4.3159933,4.3159839,4.3159743,4.3159644,4.3159544,4.3159442,4.315934,4.3159243,4.3159162,4.315915
"27",4.3370718,4.3372976,4.3372938,4.3372501,4.3371921,4.3371273,4.3370591,4.3369893,4.3369192,4.3368496,4.3367808,4.3367134,4.3366476,4.3365835,4.3365213,4.336461,4.3364028,4.3363466,4.3362926,4.3362406,4.3361908,4.3361431,4.3360975,4.3360539,4.3360124,4.3359727,4.3359319,4.3358901,4.3358473,4.3358035,4.3357586,4.3357126,4.3356655,4.3356173,4.335568,4.3355174,4.3354655,4.3354124,4.3353579,4.3353021,4.3352449,4.3351863,4.3351263,4.3350649,4.3350023,4.3349388,4.3348747,4.3348109,4.3347496,4.3347006
"28",4.4688707,4.4664689,4.4627469,4.4599071,4.4576977,4.4559021,4.4543794,4.4531024,4.4519767,4.4509163,4.4498157,4.448787,4.447549,4.4464823,4.445403,4.4443235,4.4434424,4.4426491,4.4419063,4.4412171,4.4405855,4.4399808,4.4394196,4.4388729,4.4383312,4.4378287,4.4373314,4.4368264,4.4363433,4.4358374,4.4353361,4.4349805,4.4346795,4.4344146,4.434181,4.433955,4.4337526,4.4335632,4.4333836,4.4332054,4.4330359,4.4328683,4.4327058,4.4325472,4.4323921,4.4322404,4.4320916,4.4319447,4.4317933,4.4316465
"29",4.4906373,4.4907911,4.4908152,4.4908143,4.4907975,4.4907737,4.4907471,4.4907193,4.4906911,4.4906629,4.4906351,4.4906077,4.4905809,4.4905548,4.4905294,4.4905049,4.4904812,4.4904583,4.4904364,4.4904154,4.4903952,4.4903759,4.4903576,4.4903401,4.4903235,4.4903078,4.4902921,4.4902764,4.4902607,4.4902449,4.4902291,4.4902131,4.490197,4.4901808,4.4901643,4.4901477,4.4901309,4.4901138,4.4900964,4.4900788,4.4900609,4.4900428,4.4900244,4.4900058,4.4899871,4.4899683,4.4899496,4.4899315,4.489915,4.4899042
"30",4.6284786,4.6249447,4.6199811,4.6164008,4.6133573,4.6104453,4.6082707,4.6067458,4.6054242,4.6043203,4.6033275,4.602411,4.601534,4.6007071,4.5998615,4.5990224,4.5981489,4.5971927,4.5962076,4.595169,4.5941289,4.5930926,4.5920055,4.5909357,4.5898806,4.5888539,4.5878057,4.5867829,4.585811,4.5848788,4.5840141,4.5831889,4.5823709,4.5815825,4.5808127,4.5800202,4.5792313,4.578437,4.5774102,4.5763956,4.5752808,4.5743217,4.5734225,4.5725068,4.5714838,4.5703407,4.5693398,4.5686159,4.5681293,4.5678108
